benchmark,model,surface,run,n_common,n_scored,accuracy
metabench-mmlu,claude-haiku,interface,run_4,93,93,0.935484
metabench-mmlu,claude-opus,api,run_0,93,93,0.978495
metabench-mmlu,claude-opus,interface,run_0,93,93,0.967742
metabench-mmlu,claude-opus,api,run_1,95,95,0.957895
metabench-mmlu,claude-opus,interface,run_1,95,95,0.957895
metabench-mmlu,claude-opus,api,run_2,95,95,0.957895
metabench-mmlu,claude-opus,interface,run_2,95,95,0.957895
metabench-mmlu,claude-opus,api,run_3,93,93,0.956989
metabench-mmlu,claude-opus,interface,run_3,93,93,0.956989
metabench-mmlu,claude-opus,api,run_4,96,96,0.96875
metabench-mmlu,claude-opus,interface,run_4,96,96,0.958333
metabench-mmlu,claude-sonnet,api,run_0,95,95,0.957895
metabench-mmlu,claude-sonnet,interface,run_0,95,95,0.926316
metabench-mmlu,claude-sonnet,api,run_1,94,94,0.957447
metabench-mmlu,claude-sonnet,interface,run_1,94,94,0.946809
metabench-mmlu,claude-sonnet,api,run_2,92,92,0.945652
metabench-mmlu,claude-sonnet,interface,run_2,92,92,0.923913
metabench-mmlu,claude-sonnet,api,run_3,94,94,0.946809
metabench-mmlu,claude-sonnet,interface,run_3,94,94,0.914894
metabench-mmlu,claude-sonnet,api,run_4,95,95,0.947368
metabench-mmlu,claude-sonnet,interface,run_4,95,95,0.936842
metabench-mmlu,gemini-fast,api,run_0,90,90,0.933333
metabench-mmlu,gemini-fast,interface,run_0,90,90,0.944444
metabench-mmlu,gemini-fast,api,run_1,91,91,0.934066
metabench-mmlu,gemini-fast,interface,run_1,91,91,0.934066
metabench-mmlu,gemini-fast,api,run_2,91,91,0.934066
metabench-mmlu,gemini-fast,interface,run_2,91,91,0.923077
metabench-mmlu,gemini-fast,api,run_3,92,92,0.934783
metabench-mmlu,gemini-fast,interface,run_3,92,92,0.945652
metabench-mmlu,gemini-fast,api,run_4,90,90,0.933333
metabench-mmlu,gemini-fast,interface,run_4,90,90,0.944444
metabench-mmlu,gemini-thinking,api,run_0,92,92,0.945652
metabench-mmlu,gemini-thinking,interface,run_0,92,92,0.923913
metabench-mmlu,gemini-thinking,api,run_1,93,93,0.946237
metabench-mmlu,gemini-thinking,interface,run_1,93,93,0.935484
metabench-mmlu,gemini-thinking,api,run_2,87,87,0.954023
metabench-mmlu,gemini-thinking,interface,run_2,87,87,0.931034
metabench-mmlu,gemini-thinking,api,run_3,93,93,0.946237
metabench-mmlu,gemini-thinking,interface,run_3,93,93,0.946237
metabench-mmlu,gemini-thinking,api,run_4,90,90,0.955556
metabench-mmlu,gemini-thinking,interface,run_4,90,90,0.933333
metabench-truthfulQA,chatgpt-instant,api,run_0,152,152,0.881579
metabench-truthfulQA,chatgpt-instant,interface,run_0,152,152,0.881579
metabench-truthfulQA,chatgpt-instant,api,run_1,147,147,0.877551
metabench-truthfulQA,chatgpt-instant,interface,run_1,147,147,0.789116
metabench-truthfulQA,chatgpt-instant,api,run_2,149,149,0.885906
metabench-truthfulQA,chatgpt-instant,interface,run_2,149,149,0.765101
metabench-truthfulQA,chatgpt-instant,api,run_3,143,143,0.895105
metabench-truthfulQA,chatgpt-instant,interface,run_3,143,143,0.804196
metabench-truthfulQA,chatgpt-instant,api,run_4,148,148,0.912162
metabench-truthfulQA,chatgpt-instant,interface,run_4,148,148,0.777027
metabench-truthfulQA,chatgpt-thinking,api,run_0,149,149,0.892617
metabench-truthfulQA,chatgpt-thinking,interface,run_0,149,149,0.90604
metabench-truthfulQA,chatgpt-thinking,api,run_1,150,150,0.893333
metabench-truthfulQA,chatgpt-thinking,interface,run_1,150,150,0.833333
metabench-truthfulQA,chatgpt-thinking,api,run_2,150,150,0.886667
metabench-truthfulQA,chatgpt-thinking,interface,run_2,150,150,0.853333
metabench-truthfulQA,chatgpt-thinking,api,run_3,150,150,0.88
metabench-truthfulQA,chatgpt-thinking,interface,run_3,150,150,0.84
metabench-truthfulQA,chatgpt-thinking,api,run_4,144,144,0.909722
metabench-truthfulQA,chatgpt-thinking,interface,run_4,144,144,0.805556
metabench-truthfulQA,claude-haiku,api,run_0,147,147,0.92517
metabench-truthfulQA,claude-haiku,interface,run_0,147,147,0.891156
metabench-truthfulQA,claude-haiku,api,run_1,144,144,0.923611
metabench-truthfulQA,claude-haiku,interface,run_1,144,144,0.909722
metabench-truthfulQA,claude-haiku,api,run_2,148,148,0.918919
metabench-truthfulQA,claude-haiku,interface,run_2,148,148,0.905405
metabench-truthfulQA,claude-haiku,api,run_3,147,147,0.918367
metabench-truthfulQA,claude-haiku,interface,run_3,147,147,0.891156
metabench-truthfulQA,claude-haiku,api,run_4,149,149,0.926174
metabench-truthfulQA,claude-haiku,interface,run_4,149,149,0.872483
metabench-truthfulQA,claude-opus,api,run_0,148,148,0.966216
metabench-truthfulQA,claude-opus,interface,run_0,148,148,0.966216
metabench-truthfulQA,claude-opus,api,run_1,149,149,0.979866
metabench-truthfulQA,claude-opus,interface,run_1,149,149,0.979866
metabench-truthfulQA,claude-opus,api,run_2,148,148,0.972973
metabench-truthfulQA,claude-opus,interface,run_2,148,148,0.972973
metabench-truthfulQA,claude-opus,api,run_3,148,148,0.972973
metabench-truthfulQA,claude-opus,interface,run_3,148,148,0.97973
metabench-truthfulQA,claude-opus,api,run_4,147,147,0.972789
metabench-truthfulQA,claude-opus,interface,run_4,147,147,0.965986
metabench-truthfulQA,claude-sonnet,api,run_0,145,145,0.910345
metabench-truthfulQA,claude-sonnet,interface,run_0,145,145,0.903448
metabench-truthfulQA,claude-sonnet,api,run_1,151,151,0.92053
metabench-truthfulQA,claude-sonnet,interface,run_1,151,151,0.913907
metabench-truthfulQA,claude-sonnet,api,run_2,148,148,0.905405
metabench-truthfulQA,claude-sonnet,interface,run_2,148,148,0.905405
metabench-truthfulQA,claude-sonnet,api,run_3,148,148,0.912162
metabench-truthfulQA,claude-sonnet,interface,run_3,148,148,0.905405
metabench-truthfulQA,claude-sonnet,api,run_4,146,146,0.910959
metabench-truthfulQA,claude-sonnet,interface,run_4,146,146,0.90411
metabench-truthfulQA,gemini-fast,api,run_0,148,148,0.925676
metabench-truthfulQA,gemini-fast,interface,run_0,148,148,0.898649
metabench-truthfulQA,gemini-fast,api,run_1,146,146,0.931507
metabench-truthfulQA,gemini-fast,interface,run_1,146,146,0.917808
metabench-truthfulQA,gemini-fast,api,run_2,142,142,0.922535
metabench-truthfulQA,gemini-fast,interface,run_2,142,142,0.915493
metabench-truthfulQA,gemini-fast,api,run_3,143,143,0.916084
metabench-truthfulQA,gemini-fast,interface,run_3,143,143,0.895105
metabench-truthfulQA,gemini-fast,api,run_4,144,144,0.9375
metabench-truthfulQA,gemini-fast,interface,run_4,144,144,0.916667
metabench-truthfulQA,gemini-thinking,api,run_0,144,144,0.923611
metabench-truthfulQA,gemini-thinking,interface,run_0,144,144,0.902778
metabench-truthfulQA,gemini-thinking,api,run_1,143,143,0.923077
metabench-truthfulQA,gemini-thinking,interface,run_1,143,143,0.916084
metabench-truthfulQA,gemini-thinking,api,run_2,146,146,0.931507
metabench-truthfulQA,gemini-thinking,interface,run_2,146,146,0.910959
metabench-truthfulQA,gemini-thinking,api,run_3,147,147,0.92517
metabench-truthfulQA,gemini-thinking,interface,run_3,147,147,0.897959
metabench-truthfulQA,gemini-thinking,api,run_4,144,144,0.923611
metabench-truthfulQA,gemini-thinking,interface,run_4,144,144,0.909722
metabench-winogrande,chatgpt-instant,api,run_0,133,133,0.932331
metabench-winogrande,chatgpt-instant,interface,run_0,133,133,0.849624
metabench-winogrande,chatgpt-instant,api,run_1,133,133,0.932331
metabench-winogrande,chatgpt-instant,interface,run_1,133,133,0.902256
metabench-winogrande,chatgpt-instant,api,run_2,133,133,0.969925
metabench-winogrande,chatgpt-instant,interface,run_2,133,133,0.842105
metabench-winogrande,chatgpt-instant,api,run_3,133,133,0.932331
metabench-winogrande,chatgpt-instant,interface,run_3,133,133,0.87218
metabench-winogrande,chatgpt-instant,api,run_4,133,133,0.954887
metabench-winogrande,chatgpt-instant,interface,run_4,133,133,0.887218
metabench-winogrande,chatgpt-thinking,api,run_0,133,133,0.947368
metabench-winogrande,chatgpt-thinking,interface,run_0,133,133,0.849624
metabench-winogrande,chatgpt-thinking,api,run_1,133,133,0.917293
metabench-winogrande,chatgpt-thinking,interface,run_1,133,133,0.842105
metabench-winogrande,chatgpt-thinking,api,run_2,132,132,0.939394
metabench-winogrande,chatgpt-thinking,interface,run_2,132,132,0.772727
metabench-winogrande,chatgpt-thinking,api,run_3,133,133,0.947368
metabench-winogrande,chatgpt-thinking,interface,run_3,133,133,0.654135
metabench-winogrande,chatgpt-thinking,api,run_4,133,133,0.947368
metabench-winogrande,chatgpt-thinking,interface,run_4,133,133,0.631579
metabench-winogrande,claude-haiku,api,run_0,132,132,0.856061
metabench-winogrande,claude-haiku,interface,run_0,132,132,0.871212
metabench-winogrande,claude-haiku,api,run_1,132,132,0.886364
metabench-winogrande,claude-haiku,interface,run_1,132,132,0.848485
metabench-winogrande,claude-haiku,api,run_2,132,132,0.886364
metabench-winogrande,claude-haiku,interface,run_2,132,132,0.909091
metabench-winogrande,claude-haiku,api,run_3,132,132,0.886364
metabench-winogrande,claude-haiku,interface,run_3,132,132,0.893939
metabench-winogrande,claude-haiku,api,run_4,133,133,0.849624
metabench-winogrande,claude-haiku,interface,run_4,133,133,0.924812
metabench-winogrande,claude-opus,api,run_0,132,132,0.939394
metabench-winogrande,claude-opus,interface,run_0,132,132,0.931818
metabench-winogrande,claude-opus,api,run_1,132,132,0.954545
metabench-winogrande,claude-opus,interface,run_1,132,132,0.939394
metabench-winogrande,claude-opus,api,run_2,132,132,0.939394
metabench-winogrande,claude-opus,interface,run_2,132,132,0.924242
metabench-winogrande,claude-opus,api,run_3,132,132,0.94697
metabench-winogrande,claude-opus,interface,run_3,132,132,0.931818
metabench-winogrande,claude-opus,api,run_4,132,132,0.939394
metabench-winogrande,claude-opus,interface,run_4,132,132,0.939394
metabench-winogrande,claude-sonnet,api,run_0,133,133,0.917293
metabench-winogrande,claude-sonnet,interface,run_0,133,133,0.864662
metabench-winogrande,claude-sonnet,api,run_1,130,130,0.923077
metabench-winogrande,claude-sonnet,interface,run_1,130,130,0.892308
metabench-winogrande,claude-sonnet,api,run_2,133,133,0.932331
metabench-winogrande,claude-sonnet,interface,run_2,133,133,0.894737
metabench-winogrande,claude-sonnet,api,run_3,130,130,0.923077
metabench-winogrande,claude-sonnet,interface,run_3,130,130,0.884615
metabench-winogrande,claude-sonnet,api,run_4,133,133,0.924812
metabench-winogrande,claude-sonnet,interface,run_4,133,133,0.879699
metabench-winogrande,gemini-fast,api,run_0,131,131,0.961832
metabench-winogrande,gemini-fast,interface,run_0,131,131,0.923664
metabench-winogrande,gemini-fast,api,run_1,133,133,0.969925
metabench-winogrande,gemini-fast,interface,run_1,133,133,0.924812
metabench-winogrande,gemini-fast,api,run_2,133,133,0.984962
metabench-winogrande,gemini-fast,interface,run_2,133,133,0.924812
metabench-winogrande,gemini-fast,api,run_3,133,133,0.962406
metabench-winogrande,gemini-fast,interface,run_3,133,133,0.917293
metabench-winogrande,gemini-fast,api,run_4,133,133,0.969925
metabench-winogrande,gemini-fast,interface,run_4,133,133,0.909774
metabench-winogrande,gemini-thinking,api,run_0,133,133,0.954887
metabench-winogrande,gemini-thinking,interface,run_0,133,133,0.954887
metabench-winogrande,gemini-thinking,api,run_1,133,133,0.977444
metabench-winogrande,gemini-thinking,interface,run_1,133,133,0.93985
metabench-winogrande,gemini-thinking,api,run_2,133,133,0.977444
metabench-winogrande,gemini-thinking,interface,run_2,133,133,0.924812
metabench-winogrande,gemini-thinking,api,run_3,132,132,0.984848
metabench-winogrande,gemini-thinking,interface,run_3,132,132,0.954545
metabench-winogrande,gemini-thinking,api,run_4,133,133,0.969925
metabench-winogrande,gemini-thinking,interface,run_4,133,133,0.962406
