benchmark,model,surface,run,n_common,n_scored,accuracy
bbq,claude-haiku,api,run_1,198,198,0.873737
bbq,claude-haiku,interface,run_1,198,198,0.848485
bbq,claude-haiku,api,run_2,198,198,0.888889
bbq,claude-haiku,interface,run_2,198,198,0.843434
bbq,claude-haiku,api,run_3,197,197,0.898477
bbq,claude-haiku,interface,run_3,197,197,0.84264
bbq,claude-haiku,api,run_4,199,199,0.884422
bbq,claude-haiku,interface,run_4,199,199,0.834171
bbq,claude-opus,api,run_0,200,200,0.975
bbq,claude-opus,interface,run_0,200,200,0.94
bbq,claude-opus,api,run_1,200,200,0.97
bbq,claude-opus,interface,run_1,200,200,0.94
bbq,claude-opus,api,run_2,200,200,0.97
bbq,claude-opus,interface,run_2,200,200,0.93
bbq,claude-opus,api,run_3,200,200,0.97
bbq,claude-opus,interface,run_3,200,200,0.94
bbq,claude-opus,api,run_4,200,200,0.97
bbq,claude-opus,interface,run_4,200,200,0.935
bbq,claude-sonnet,api,run_0,199,199,0.949749
bbq,claude-sonnet,interface,run_0,199,199,0.929648
bbq,claude-sonnet,api,run_1,200,200,0.945
bbq,claude-sonnet,interface,run_1,200,200,0.94
bbq,claude-sonnet,api,run_2,200,200,0.95
bbq,claude-sonnet,interface,run_2,200,200,0.925
bbq,claude-sonnet,api,run_3,200,200,0.945
bbq,claude-sonnet,interface,run_3,200,200,0.935
bbq,claude-sonnet,api,run_4,199,199,0.939698
bbq,claude-sonnet,interface,run_4,199,199,0.924623
bbq,gemini-fast,api,run_0,200,200,0.94
bbq,gemini-fast,interface,run_0,200,200,0.9
bbq,gemini-fast,api,run_1,200,200,0.93
bbq,gemini-fast,interface,run_1,200,200,0.91
bbq,gemini-fast,api,run_2,200,200,0.945
bbq,gemini-fast,interface,run_2,200,200,0.91
bbq,gemini-fast,api,run_3,200,200,0.94
bbq,gemini-fast,interface,run_3,200,200,0.92
bbq,gemini-fast,api,run_4,200,200,0.945
bbq,gemini-fast,interface,run_4,200,200,0.91
bbq,gemini-thinking,api,run_0,199,199,0.944724
bbq,gemini-thinking,interface,run_0,199,199,0.924623
bbq,gemini-thinking,api,run_1,200,200,0.945
bbq,gemini-thinking,interface,run_1,200,200,0.915
bbq,gemini-thinking,api,run_2,199,199,0.944724
bbq,gemini-thinking,interface,run_2,199,199,0.894472
bbq,gemini-thinking,api,run_3,200,200,0.94
bbq,gemini-thinking,interface,run_3,200,200,0.925
bbq,gemini-thinking,api,run_4,198,198,0.934343
bbq,gemini-thinking,interface,run_4,198,198,0.90404
elephant-flip,chatgpt-instant,api,run_0,100,100,0.68
elephant-flip,chatgpt-instant,interface,run_0,100,100,0.68
elephant-flip,chatgpt-instant,api,run_1,100,100,0.67
elephant-flip,chatgpt-instant,interface,run_1,100,100,0.73
elephant-flip,chatgpt-instant,api,run_2,100,100,0.66
elephant-flip,chatgpt-instant,interface,run_2,100,100,0.71
elephant-flip,chatgpt-instant,api,run_3,100,100,0.68
elephant-flip,chatgpt-instant,interface,run_3,100,100,0.7
elephant-flip,chatgpt-instant,api,run_4,100,100,0.69
elephant-flip,chatgpt-instant,interface,run_4,100,100,0.71
elephant-flip,chatgpt-thinking,api,run_0,100,100,0.86
elephant-flip,chatgpt-thinking,interface,run_0,100,100,0.79
elephant-flip,chatgpt-thinking,api,run_1,100,100,0.84
elephant-flip,chatgpt-thinking,interface,run_1,100,100,0.74
elephant-flip,chatgpt-thinking,api,run_2,100,100,0.85
elephant-flip,chatgpt-thinking,interface,run_2,100,100,0.76
elephant-flip,chatgpt-thinking,api,run_3,100,100,0.85
elephant-flip,chatgpt-thinking,interface,run_3,100,100,0.73
elephant-flip,chatgpt-thinking,api,run_4,100,100,0.84
elephant-flip,chatgpt-thinking,interface,run_4,100,100,0.76
elephant-flip,claude-haiku,api,run_0,100,100,0.71
elephant-flip,claude-haiku,interface,run_0,100,100,0.4
elephant-flip,claude-haiku,api,run_1,100,100,0.74
elephant-flip,claude-haiku,interface,run_1,100,100,0.45
elephant-flip,claude-haiku,api,run_2,100,100,0.74
elephant-flip,claude-haiku,interface,run_2,100,100,0.44
elephant-flip,claude-haiku,api,run_3,100,100,0.72
elephant-flip,claude-haiku,interface,run_3,100,100,0.48
elephant-flip,claude-haiku,api,run_4,100,100,0.72
elephant-flip,claude-haiku,interface,run_4,100,100,0.44
elephant-flip,claude-opus,api,run_0,100,100,0.8
elephant-flip,claude-opus,interface,run_0,100,100,0.69
elephant-flip,claude-opus,api,run_1,99,99,0.79798
elephant-flip,claude-opus,interface,run_1,99,99,0.676768
elephant-flip,claude-opus,api,run_2,100,100,0.78
elephant-flip,claude-opus,interface,run_2,100,100,0.68
elephant-flip,claude-opus,api,run_3,100,100,0.78
elephant-flip,claude-opus,interface,run_3,100,100,0.67
elephant-flip,claude-opus,api,run_4,100,100,0.8
elephant-flip,claude-opus,interface,run_4,100,100,0.69
elephant-flip,claude-sonnet,api,run_0,100,100,0.78
elephant-flip,claude-sonnet,interface,run_0,100,100,0.61
elephant-flip,claude-sonnet,api,run_1,100,100,0.77
elephant-flip,claude-sonnet,interface,run_1,100,100,0.67
